ID,ADDRESS,TYPE,BRANCH
77,宜蘭縣員山鄉枕山路39之1號1樓,統一超商股份有限公司,枕山
78,宜蘭縣壯圍鄉美功路二段158號,統一超商股份有限公司,美功
79,宜蘭縣冬山鄉廣興路331號333號,統一超商股份有限公司,廣安
80,宜蘭縣蘇澳鎮蘇濱路二段251號253號思村段596地號,統一超商股份有限公司,九容
81,宜蘭縣羅東鎮公正路136號1樓,統一超商股份有限公司,潤霖
82,宜蘭縣宜蘭市光復路26號,統一超商股份有限公司,宜莊
83,宜蘭縣羅東鎮興東南路188號,統一超商股份有限公司,利陶
84,宜蘭縣頭城鎮青雲路二段230號1樓,統一超商股份有限公司,家燕
85,宜蘭縣頭城鎮中山區青雲路三段238號240號,統一超商股份有限公司,詮祥
86,宜蘭縣宜蘭市校舍路25號,統一超商股份有限公司,校舍
87,宜蘭縣頭城鎮濱海路五段450號452號,統一超商股份有限公司,北濱
88,宜蘭縣頭城鎮三和路375號1樓,統一超商股份有限公司,三崙
89,宜蘭縣礁溪鄉礁溪路五段152號1樓,統一超商股份有限公司,詠富
90,宜蘭縣羅東鎮公正路31號1樓,統一超商股份有限公司,金站
91,宜蘭縣宜蘭市延平路39之8號1樓,統一超商股份有限公司,宜商
92,宜蘭縣羅東鎮站前南路260號262號1樓,統一超商股份有限公司,聖昌
93,宜蘭縣員山鄉同新路286號,統一超商股份有限公司,同樂
94,宜蘭縣宜蘭市東港路一段575號,統一超商股份有限公司,東道
95,宜蘭縣蘇澳鎮永榮里馬賽路151號,統一超商股份有限公司,馬賽
96,宜蘭縣礁溪鄉礁溪路二段49號51號,統一超商股份有限公司,韌性
97,宜蘭縣宜蘭市神農路一段96號98號,統一超商股份有限公司,農專
98,宜蘭縣頭城鎮民鋒路18號20號,統一超商股份有限公司,纘祥
99,宜蘭縣羅東鎮興東路263之1號1樓,統一超商股份有限公司,欣銓
100,宜蘭縣冬山鄉義成路三段2號1樓永興路一段452號1樓,統一超商股份有限公司,義成
101,宜蘭縣蘇澳鎮江夏路27號,統一超商股份有限公司,南方澳
102,宜蘭縣員山鄉員山路一段186號,統一超商股份有限公司,佳怡
103,宜蘭縣礁溪鄉德陽路65號,統一超商股份有限公司,瑞發
104,宜蘭縣壯圍鄉大福村壯濱路六段222號,統一超商股份有限公司,大福
105,宜蘭縣五結鄉二結路107號1樓,統一超商股份有限公司,杰昇
106,宜蘭縣蘇澳鎮蘇東中路4號,統一超商股份有限公司,蘇澳港
107,宜蘭縣員山鄉員山路一段303號,統一超商股份有限公司,萬鴻
108,宜蘭縣宜蘭市慈安路40號,統一超商股份有限公司,圓鴻
109,宜蘭縣礁溪鄉吳沙村礁溪路一段142號,統一超商股份有限公司,嘉融
110,宜蘭縣冬山鄉冬山路一段984號,統一超商股份有限公司,冬山
111,宜蘭縣礁溪鄉中山路二段204號1樓,統一超商股份有限公司,永裕
112,宜蘭縣宜蘭市中山路二段101號1樓,統一超商股份有限公司,蘭陽
113,宜蘭縣三星鄉大洲村大洲路54之10號1樓上將路2段357號1樓,統一超商股份有限公司,立昇
114,宜蘭縣壯圍鄉壯五路143之3號,統一超商股份有限公司,壯圍
115,宜蘭縣五結鄉親河路二段289號,統一超商股份有限公司,親河
116,宜蘭縣羅東鎮民權路177號,統一超商股份有限公司,權中
117,宜蘭縣礁溪鄉大忠村大忠路120-122號,統一超商股份有限公司,永聖
118,宜蘭縣五結鄉協和村親河路一段140號,統一超商股份有限公司,布蘭其
119,宜蘭縣羅東鎮復興路二段257號,統一超商股份有限公司,宣宏
120,宜蘭縣羅東鎮公園路100號1樓,統一超商股份有限公司,宜泰
121,宜蘭縣礁溪鄉礁溪路五段51號,統一超商股份有限公司,湯圍
122,宜蘭縣冬山鄉義成路三段361號363號1樓,統一超商股份有限公司,羅義
123,宜蘭縣羅東鎮中山路四段197號199號,統一超商股份有限公司,潤昌
124,宜蘭縣羅東鎮南昌街53巷6-3號,統一超商股份有限公司,聖博
125,宜蘭縣蘇澳鎮中山路一段263號,統一超商股份有限公司,蘇中
126,台北市中正區許昌街17號1樓,統一超商股份有限公司,千翔
127,台北市士林區後港街98之1號2號1樓,統一超商股份有限公司,前港
128,台北市中山區長安東路二段43號45-1號1樓,統一超商股份有限公司,江東
129,台北市內湖區成功路四段359號1樓,統一超商股份有限公司,秀湖
130,台北市文山區指南路一段34號36號1樓,統一超商股份有限公司,指南
131,台北市中山區松江路295號295-1號1樓,統一超商股份有限公司,松錦
132,台北市萬華區華中里萬大路464號一樓,統一超商股份有限公司,富帆
133,台北市中正區寧波西街86號1樓,統一超商股份有限公司,鑫重寧
134,台北市中正區中華路二段405號407號,統一超商股份有限公司,掬華
135,台北市信義區忠孝東路五段386號,統一超商股份有限公司,松山
136,台北市萬華區西寧南路85號,統一超商股份有限公司,漢寧
137,台北市信義區吳興街257號259號,統一超商股份有限公司,醫學
138,台北市文山區興隆路二段244巷20號,統一超商股份有限公司,興岩
139,台北市中正區衡陽路27號,統一超商股份有限公司,新格蘭
140,台北市文山區永安街22巷23號25號1樓,統一超商股份有限公司,文山
141,台北市信義區福德街159號161號1樓,統一超商股份有限公司,福中
142,台北市信義區基隆路二段155號1樓,統一超商股份有限公司,喬治
143,台北市大同區酒泉街25號27號1樓,統一超商股份有限公司,圓泉
144,台北市文山區秀明路二段8號10號,統一超商股份有限公司,新秀
145,台北市信義區逸仙路42巷25號1樓,統一超商股份有限公司,新三連
146,台北市士林區基河路132號1樓,統一超商股份有限公司,承河
147,台北市大安區敦化南路二段331巷14號,統一超商股份有限公司,樂隆
148,台北市大安區羅斯福路三段245號,統一超商股份有限公司,溫州
149,台北市大安區臥龍街252號及252之1號,統一超商股份有限公司,麟光
150,台北市南港區玉成街150號1樓,統一超商股份有限公司,玉德
151,台北市中山區民權東路二段96號98號1樓,統一超商股份有限公司,福權
152,台北市大安區光復南路240巷25號,統一超商股份有限公司,國館
153,台北市信義區東興路67號1樓,統一超商股份有限公司,總部
154,台北市信義區崇德街104號106號1樓,統一超商股份有限公司,崇德
155,台北市內湖區內湖路二段407號409號411號1樓,統一超商股份有限公司,金龍
156,台北市萬華區廣州街148號,統一超商股份有限公司,龍廣
157,台北市內湖區內湖路一段411巷17號19弄1號,統一超商股份有限公司,福湖
158,台北市文山區辛亥路四段132號,統一超商股份有限公司,辛亥站
159,台北市大安區敦化南路一段187巷29號,統一超商股份有限公司,建安
160,台北市信義區忠孝東路四段514號,統一超商股份有限公司,東暉
161,台北市中山區南京西路12巷9號1樓,統一超商股份有限公司,鑫越
162,台北市信義區忠孝東路五段236巷6-3號8號1樓,統一超商股份有限公司,新工農
163,台北市大安區和平東路三段97號97之1號1樓,統一超商股份有限公司,技安
164,台北市中山區林森北路310巷10號中山北路二段59巷55.55-1~4.57.59,統一超商股份有限公司,歡唱
165,台北市中正區杭州南路一段83號,統一超商股份有限公司,丹陽
166,台北市北投區自強街82號,統一超商股份有限公司,統勝
167,台北市大同區南京西路436號1F,統一超商股份有限公司,稻埕
168,台北市士林區忠誠路二段7號1樓,統一超商股份有限公司,德行
169,台北市北投區中央北路三段55號57號1樓,統一超商股份有限公司,中陽
170,台北市萬華區寶興街184號186號,統一超商股份有限公司,寶昌
171,台北市大安區辛亥路三段157巷32號1樓臥龍街188巷1號1樓,統一超商股份有限公司,黎元
172,台北市士林區天母東路8巷96號98號,統一超商股份有限公司,天美
173,台北市信義區永吉路30巷168弄1號1樓,統一超商股份有限公司,敦厚
174,台北市萬華區昆明街30-1號30-2號1樓,統一超商股份有限公司,昆福
175,台北市中山區吉林路209號1樓2樓,統一超商股份有限公司,吉林
176,台北市北投區振興街45號B1,統一超商股份有限公司,振興醫
